sanhok 10000
khao 10100
katumavadi 10101 2176 8704 1489
samla 10102 2617 10468 1489
tatauli	10103	2345	9380	1489
masaurhi	10104	2435	9740	1489
kairi	10105	2534	10136	1488
makandpur	10106	2411	9644	1488
sonjh	10107	2317	9268	1488
nayira	10108	2379	9516	1488
talya	10109	2793	11172	1490
nandoli	10110	2647	10588	1490
pedapatnam	10111	2217	8868	1491
pashkyum	10112	2634	10536	1491
bhareta	10113	2621	10484	1491
deori	10114	2519	10076	1492
chalpur	10115	2378	9512	1492
khamshet	10116	2686	10744	1493
nainpur	10117	2399	9596	1493
kutipi	10118	2452	9808	1495
senua	10119	2463	9852	1496
karwa	10120	2591	10364	1497
bhainsraun	10121	2577	10308	1498
coompta	10122	2419	9676	1499
bitargaon	10123	2479	9916	1497
ghorap	10124	2492	9968	1496
merwa	10125	2763	11052	1497
kurauli	10126	2507	10028	1495
chandara	10127	2526	10104	1494
kanzdor	10128	2537	10148	1493
dandanpalli	10129	2388	9552	1500
raypur	10130	2245	8980	1505
mongnai	10200
malharia	10201	2176	8704	1478
koradi	10202	2345	9380	1476
talni	10203	2534	10136	1479
urra	10204	2317	9268	1475
banta	10205	2793	11172	1481
malanduba	10206	2217	8868	1482
manabal	10207	2621	10484	1482
barkuhi	10208	2378	9512	1482
gurh	10209	2399	9596	1479
halsi	10210	2463	9852	1479
comproi	10211	2577	10308	1479
bhoiron	10212	2479	9916	1475
sangli	10213	2763	11052	1475
garroli	10214	2526	10104	1475
rangangaon	10215	2388	9552	1475
durkaranja	10216	2617	10468	1475
karaikudi	10217	2435	9740	1475
rabon	10218	2411	9644	1480
oukchong	10219	2379	9516	1482
silchar	10220	2647	10588	1483
peint	10221	2634	10536	1483
gorifa	10222	2519	10076	1483
kolapadka	10223	2386	9544	1482
deoban	10224	2452	9808	1482
nawergaon	10225	2591	10364	1482
saichal	10226	2419	9676	1479
nagjua	10227	2492	9968	1475
diripadar	10228	2507	10028	1472
kharba	10229	2537	10148	1485
batehra	10230	2245	8980	1485
camp_bravo	10300
hampaptna	10301	2176	8704	1591
davra	10302	2617	10468	1591
bebra	10303	2345	9380	591
jhang	10304	2435	9740	1590
balijipeta	10305	2534	10136	1590
devliya	10306	2411	9644	1592
ruheli	10307	2317	9268	1592
surora	10308	2379	9516	1590
pheona	10309	2793	11172	1593
manjeshwar	10310	2647	10588	1592
bhadsia	10311	2217	8868	1592
baharampur	10312	2634	10536	1590
ghota	10313	2621	10484	1590
luintha	10314	2519	10076	1590
roshangpur	10315	2378	9512	1588
rajur	10316	2686	10744	1588
dholipal	10317	2399	9596	1588
dora	10318	2452	9808	1592
ankedipal	10319	2463	9852	1590
bhustala	10320	2591	10364	1590
sadapur	10321	2577	10308	1590
haringhata	10322	2419	9676	1590
bidroni	10323	2479	9916	1592
polukalin	10324	2492	9968	1592
udaigiri	10325	2763	11052	1592
gonua	10326	2507	10028	1591
kasangi	10327	2526	10104	1588
bansai	10328	2537	10148	1587
surmi	10329	2388	9552	1586
vardmankot	10330	2245	8980	1588
camp_charlie	10400
mahhulia	10401	2617	10468	1520
purngad	10402	2435	9740	1521
patkhauli	10403	2411	9644	1521
shamspur	10404	2379	9516	1525
aralgundgi	10405	2647	10588	1525
pherod	10406	2634	10536	1525
naglakhera	10407	2519	10076	1525
sasalkot	10408	2386	9544	1523
ghanial	10409	2452	9808	1523
vinchhavad	10410	2591	10364	1523
aure	10411	2419	9676	1523
mao	10412	2492	9968	1515
bhuma	10413	2507	10028	1515
alorna	10414	2537	10148	1514
kav	10415	2245	8980	1516
trikodi	10416	2176	8704	1516
aroe	10417	2345	9380	1523
dhanesa	10418	2534	10136	1523
dagaachi	10419	2317	9268	1520
arani	10420	2793	11172	1520
chiknota	10421	2217	8868	1520
aluda	10422	2621	10484	1523
molcornem	10423	2378	9512	1523
panaikudi	10424	2399	9596	1523
grunli	10425	2463	9852	1521
bharara	10426	2577	10308	1521
phutera	10427	2479	9916	1520
sanchi	10428	2763	11052	1520
doungmukh	10429	2526	10104	1521
mirajgaon	10430	2388	9552	1521
camp_alpha	10500
raigarh	10501	2245	8980	
gumanday	10502	2388	9552	1481
basgarha	10503	2537	10148	1482
yelmokani	10504	2526	10104	1481
zingral	10505	2507	10028	1481
gunjraliya	10506	2763	11052	1481
tadepalli	10507	2492	9968	1475
zaladanki	10508	2479	9916	1475
kutiatodu	10509	2419	9676	1475
amdhi	10510	2577	10308	1485
lonand	10511	2591	10364	1486
raikanapali	10512	2463	9852	1486
kummankod	10513	2452	9808	1486
chatia	10514	2399	9596	1482
mahdipur	10515	2386	9544	1482
nimkhera	10516	2378	9512	1479
nirgunda	10517	2519	10076	1479
nari	10518	2621	10484	1479
murai	10519	2634	10536	1479
gujran	10520	2217	8868	1480
joranda	10521	2647	10588	1480
melomi	10522	2793	11172	1482
chanwari	10523	2379	9516	1482
rajhat	10524	2317	9268	1482
galtia	10525	2411	9644	1478
thuravoor	10526	2534	10136	1478
bet	10527	2435	9740	1482
karaka	10528	2345	9380	1482
nadoura	10529	2617	10468	1475
pimparkher	10530	2176	8704	1475
painan	10600
kuraitha	10601	2176	8704	1499
ganapavram	10602	2345	9380	1499
mairh	10603	2534	10136	1489
pogla	10604	2317	9268	1489
ponneri	10605	2793	11172	1488
chehal	10606	2217	8868	1486
nighoj	10607	2621	10484	1487
boghera	10608	2378	9512	1498
naraspur	10609	2399	9596	1498
bhelwa	10610	2463	9852	1498
manjharia	10611	2577	10308	1497
bichgaon	10612	2479	9916	1497
