sanhok
10100	10200	6
10100	10900	9
10200	10800	4
10200	10100	6
10300	10500	14
10300	10400	12
10300	10900	12
10400	11100	4
10400	10300	12
10500	10300	14
10500	11000	20
10600	10700	12
10600	11200	17
10600	11100	18
10700	11500	7
10700	10600	12
10800	11300	7
10800	10200	4
10900	10100	9
10900	10300	12
10900	11300	10
11000	10500	20
11000	11100	13
11200	10600	17
11200	11400	12
11200	11500	18
11300	10900	10
11300	11400	15
11400	11200	12
11400	11300	15
11400	11500	11
11500	11200	18
11500	10700	7
11500	11400	11
